Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données
1990,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Approche de vente de carburant,,2666724,11848,144676,2823248,0,L
1990,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Approche de vente de carburant,,721994,539,16050,738583,0,L
1990,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,,133092,171,15254,148517,0,L
1990,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,,119399,615,2094,122108,0,M
1990,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,,566785,1019,4641,572445,0,M
1990,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Essence (automobile),28370,126,1539,30036,0,L
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,2631936,144869,21755,2798561,0,M
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,848933,578,2076,851587,0,M
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,794,19509,20302,149584,M
2015,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,11,424,435,15979,M
2015,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,,83395,119,9834,93349,0,L
2015,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,,319859,758,2855,323472,0,L
2015,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,,805107,547,7011,812665,0,L
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Essence (automobile),25419,1399,210,27028,0,M
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Gazole,8199,6,20,8224,0,M
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Éthanol,0,8,188,196,1445,M
2015,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Biocarburants,0,0,4,4,154,M
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,2425736,133519,20051,2579306,0,M
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,739035,503,1808,741346,0,M
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,29,60,90,137865,M
2016,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,0,1,2,13910,M
2016,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,,78024,112,9215,87351,0,L
2016,Transport,II.3.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Départs transfrontaliers,Géographique / Territorial,,358594,851,3179,362623,0,L
2016,Transport,II.4.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Tous les vols au départ,Géographique / Territorial,,804705,563,7028,812296,0,L
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Essence (automobile),22960,1264,190,24413,0,M
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Gazole,6995,5,17,7017,0,M
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Éthanol,0,0,1,1,1305,M
2016,Transport,II.5.1,1,Émissions provenant de la combustion de carburant pour les transports hors route dans la ville,Multiple,,Biocarburants,0,0,0,0,132,M
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,2574566,141711,21281,2737558,0,M
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,782499,533,1914,784945,0,M
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,672,16519,17191,126657,M
2017,Transport,II.1.1,1,Émissions provenant de la combustion de carburant pour les transports routiers dans la ville,Multiple,Géographique / Territorial,,0,10,391,401,14728,M
2017,Transport,II.2.3,3,"Émissions provenant des déplacements transfrontaliers se produisant à l'extérieur de la ville, et pertes de T&D (transport et distribution) de la consommation d'énergie fournie par le réseau",Multiple,Géographique / Territorial,,86843,124,10203,97169,0,L
